date;heure;PA04C;A1;AUT;AUB;BASCH
;;mg/m3;mg/m3;mg/m3;mg/m3;mg/m3
03/10/2012;8;0;1;1;0;1
03/10/2012;9;0;1;0;0;1
03/10/2012;10;0;1;0;0;1
03/10/2012;11;0;1;1;0;1
03/10/2012;12;0;1;0;0;1
03/10/2012;13;0;1;1;0;1
03/10/2012;14;0;1;1;0;1
03/10/2012;15;0;1;1;0;1
03/10/2012;16;0;1;1;0;1
03/10/2012;17;0;1;1;0;1
03/10/2012;18;0;1;1;0;2
03/10/2012;19;0;1;1;0;1
03/10/2012;20;0;1;0;0;1
03/10/2012;21;0;0;0;0;1
03/10/2012;22;0;0;0;0;1
03/10/2012;23;0;0;0;0;0
03/10/2012;24;0;0;0;0;0
04/10/2012;1;0;0;0;0;0
04/10/2012;2;0;0;0;0;0
04/10/2012;3;0;0;0;0;0
04/10/2012;4;0;0;0;0;0
04/10/2012;5;0;1;0;0;0
04/10/2012;6;0;1;0;0;0
04/10/2012;7;0;1;1;0;1
04/10/2012;8;0;1;1;0;1
04/10/2012;9;0;1;1;0;1
04/10/2012;10;0;1;1;0;1
04/10/2012;11;0;1;n/d;0;1
04/10/2012;12;0;1;n/d;0;1
04/10/2012;13;0;1;n/d;0;1
04/10/2012;14;0;1;n/d;0;0
04/10/2012;15;0;1;1;0;1
04/10/2012;16;0;1;1;0;1
04/10/2012;17;0;1;2;0;1
04/10/2012;18;0;1;2;0;2
04/10/2012;19;1;1;2;1;1
04/10/2012;20;0;1;1;0;1
04/10/2012;21;0;1;1;0;1
04/10/2012;22;0;1;1;0;0
04/10/2012;23;0;1;0;0;0
04/10/2012;24;0;0;0;0;0
05/10/2012;1;0;0;0;0;0
05/10/2012;2;0;0;0;0;0
05/10/2012;3;0;0;0;0;0
05/10/2012;4;0;1;0;0;0
05/10/2012;5;0;1;0;0;0
05/10/2012;6;0;1;1;0;1
05/10/2012;7;0;1;1;0;1
05/10/2012;8;0;1;1;0;1
05/10/2012;9;n/d;1;1;0;1
05/10/2012;10;n/d;1;1;0;1
05/10/2012;11;n/d;1;1;0;1
05/10/2012;12;0;1;0;0;1
05/10/2012;13;0;1;1;0;1
